filtered_rssi,est_dist
-63.89875128118075,1.82
-63.91965924776373,2.08
-63.91050840352344,1.7
-63.881548109563504,1.49
-63.90262723574901,2.08
-63.91354636651367,1.94
-63.90445635614905,1.7
-63.86560606725778,1.39
-63.8868438002187,2.08
-63.887969731362226,1.82
-63.8890844589715,1.82
-63.85038715942448,1.39
-63.82202514697156,1.49
-63.843696496630976,2.08
-63.865152206924975,2.08
-63.8565437474485,1.7
-63.838070722361564,1.59
-63.829731733060804,1.7
-63.841376159268506,1.94
-63.86285493640303,2.08
-63.84431912767289,1.59
-63.81601754349961,1.49
-63.84769884488784,2.22
-63.8989653262868,2.54
-63.90992085126648,1.94
-63.940667779097936,2.22
-63.95120835247778,1.94
-63.92184322735831,1.49
-63.94252130791558,2.08
-63.96299363423119,2.08
-63.973312054337676,1.94
-63.97357760467897,1.82
-64.00369110211848,2.22
-64.0335049601015,2.22
-64.03317157925962,1.82
-64.03284151566677,1.82
-64.00266416338428,1.49
-63.97278708544296,1.49
-63.97305785906943,1.82
-63.99322631268215,2.08
-63.99329371213022,1.82
-63.96350988683921,1.49
-63.924072236098205,1.39
-63.96462846062365,2.37
-63.99483095751473,2.22
-63.95508166998593,1.39
-63.97542897344451,2.08
-63.97567345953108,1.82
-63.96596533601324,1.7
-63.94640363516331,1.59
-63.91708640377401,1.49
-63.91791140847318,1.82
-63.92867837706131,1.94
-63.939338211433956,1.94
-63.93994180660518,1.82
-63.920639055609286,1.59
-63.94132904888618,2.08
-63.951863003076426,1.94
-63.92249147178518,1.49
-63.903362361258374,1.59
-63.88442359013893,1.59
-63.855723099439494,1.49
-63.83725834984556,1.59
-63.809027165522025,1.49
-63.83082770166591,2.08
-63.83251099343007,1.82
-63.81427721362931,1.59
-63.79622486417782,1.59
-63.768401979974385,1.49
-63.79060673532028,2.08
-63.80264038990136,1.94
-63.78470383363255,1.59
-63.7967962214278,1.94
-63.78886797434354,1.7
-63.81086908261402,2.08
-63.82270111984705,1.94
-63.814515116478134,1.7
-63.77656010341349,1.39
-63.78873351816098,1.94
-63.780885499043436,1.7
-63.812916178810056,2.22
-63.84462814670559,2.22
-63.856124271444955,1.94
-63.87745615818019,2.08
-63.85877518729688,1.59
-63.86018039533329,1.82
-63.871521770541705,1.94
-63.882750296831496,1.94
-63.86401665212988,1.59
-63.885270002262345,2.08
-63.866511287841846,1.59
-63.83798907926183,1.49
-63.849551258188384,1.94
-63.88089868345021,2.22
-63.88208375890083,1.82
-63.853406606811674,1.49
-63.83496494256855,1.59
-63.826656920756115,1.7
-63.858232141648166,2.22
-63.87954303964081,2.08
-63.84094103028937,1.39
-63.85247383276047,1.94
-63.87384202441359,2.08
-63.894997598770125,2.08
-63.88609224563261,1.7
-63.90712592711316,2.08
-63.9180001785277,1.94
-63.88896566546821,1.49
-63.85026991018715,1.39
-63.881610166555966,2.22
-63.902688442011865,2.08
-63.9136068453311,1.94
-63.8846160509779,1.49
-63.895714276469164,1.94
-63.90670207276327,1.94
-63.96733123160309,2.71
-63.977606428687245,1.94
-63.98777938586948,1.94
-63.95805056927138,1.49
-63.978368246965296,2.08
-64.01838403506086,2.37
-64.02815124844467,1.94
-64.03782127648475,1.94
-63.99764440329955,1.39
-64.03746838720923,2.37
-64.08684625228392,2.54
-64.10588239208133,2.08
-64.1346792549809,2.22
-64.15323944910305,2.08
-64.16166483112589,1.94
-64.13020583902038,1.49
-64.10901000362678,1.59
-64.1178754740821,1.94
-64.09680232830209,1.59
-64.13563966930656,2.37
-64.16414043873262,2.22
-64.14260695152751,1.59
-64.1312378595344,1.7
-64.10008162456687,1.49
-64.11898606586739,2.08
-64.14765253838357,2.22
-64.14618337597726,1.82
-64.14472883195579,1.82
-64.14328876086337,1.82
-64.13191288608343,1.7
-64.1405504678515,1.94
-64.16900236902946,2.22
-64.15737064095642,1.7
-64.14585465027922,1.7
-64.18420390480917,2.37
-64.18237105168788,1.82
-64.19050656733506,1.94
-64.15876060749241,1.49
-64.18703131265802,2.22
-64.19512045778202,1.94
-64.23297950806773,2.37
-64.26051172439949,2.22
-64.26786972951564,1.94
-64.23535399843331,1.49
-64.23301219540319,1.82
-64.24064382416957,1.94
-64.24819951715052,1.94
-64.26563016022808,2.08
-64.31273775656133,2.54
-64.30962597519648,1.82
-64.26674463649783,1.39
-64.24419023291539,1.59
-64.26166076800654,2.08
-64.22920682030306,1.49
-64.25677657157533,2.22
-64.25422161142971,1.82
-64.29149259122443,2.37
-64.29854233158399,1.94
-64.26572140901702,1.49
-64.29292783419794,2.22
-64.3099134226177,2.08
-64.3068297440803,1.82
-64.27392636177089,1.49
-64.23140024375867,1.39
-64.2091975239787,1.59
-64.19716585298792,1.7
-64.23500454190749,2.37
-64.20281583083091,1.49
-64.2206980442293,2.08
-64.21850207034758,1.82
-64.21632794670279,1.82
-64.1743749427454,1.39
-64.20249027436397,2.22
-64.21042559833911,1.94
-64.1884315804961,1.59
-64.18655666214498,1.82
-64.14489988759681,1.39
-64.15340824309331,1.94
-64.12203142789573,1.49
-64.17056783858467,2.54
-64.2186213055167,2.54
-64.23634625098862,2.08
-64.19419406508365,1.39
-64.22211219210969,2.22
-64.21990214747179,1.82
-64.1978138381072,1.59
-64.16599518291198,1.49
-64.13449312754327,1.49
-64.15305515847278,2.08
-64.18138262203638,2.22
-64.19947809635818,2.08
-64.17759300952333,1.59
-64.20567631796885,2.22
-64.1737794311162,1.49
-64.15215004954815,1.59
-64.20038677238641,2.54
-64.19839289855373,1.82
-64.19641886402673,1.82
-64.16461409066108,1.49
-64.13312577894682,1.49
-64.15170141423765,2.08
-64.18004234633591,2.22
-64.18820102893285,1.94
-64.186328404844,1.82
-64.22427492039657,2.37
-64.23199348319459,1.94
-64.23963524528979,1.94
-64.20740046446738,1.49
-64.2351871832954,2.22
-64.25274729413297,2.08
-64.25023242658256,1.82
-64.26764283524027,2.08
-64.29483013452518,2.22
-64.30184666383235,1.94
-64.29884325137705,1.82
-64.30581984962522,1.94
-64.30277690348578,1.82
-64.32961461397775,2.22
-64.33628503322653,1.94
-64.32298882843062,1.7
-64.28992467012,1.49
-64.3268403878922,2.37
-64.33353841097447,1.94
-64.31031940938544,1.59
-64.32713194439377,2.08
-64.29402656194667,1.49
-64.31100121276602,2.08
-64.30790671149076,1.82
-64.28494274880029,1.59
-64.26220728048072,1.59
-64.25959828499957,1.82
-64.2769155013346,2.08
-64.30401053512058,2.22
-64.31093571795587,1.94
-64.30784186840577,1.82
-64.30477880305399,1.82
-64.2718958379103,1.49
-64.24929018834429,1.59
-64.21695934201672,1.49
-64.25460107263025,2.37
-64.232167508271,1.59
-64.20000703492711,1.49
-64.22786731714972,2.22
-64.24550026023849,2.08
-64.26295775329866,2.08
-64.27029141633417,1.94
-64.31735261141819,2.54
-64.34404529019072,2.22
-64.34062199630564,1.82
-64.3372327646298,1.82
-64.33387725623973,1.82
-64.30070475859705,1.49
-64.32756308541354,2.22
-64.3641042941055,2.37
-64.37043153626279,1.94
-64.3269451935008,1.39
-64.34359229896,2.08
-64.34017351243448,1.82
-64.30693836654086,1.49
-64.2640837889958,1.39
-64.29130649879826,2.22
-64.26850771147956,1.59
-64.25588590051272,1.7
-64.2632899292045,1.94
-64.29052053789499,2.22
-64.31748019858385,2.22
-64.31432123076718,1.82
-64.28134331863735,1.49
-64.30839429373022,2.22
-64.30532573181586,1.82
-64.27243732612206,1.49
-64.26972654055157,1.82
-64.30684322937985,2.37
-64.31374022618765,1.94
-64.29071822075267,1.59
-64.30772578881653,2.08
-64.26486337702264,1.39
-64.28212820399612,2.08
-64.25942074222012,1.59
-64.27673972406545,2.08
-64.28393625448653,1.94
-64.26121080243286,1.59
-64.22876134613635,1.49
-64.19663476602054,1.49
-64.21457847613604,2.08
-64.21244339340424,1.82
-64.21032955501465,1.82
-64.17838637361722,1.49
-64.21641190810769,2.37
-64.24410895843171,2.22
-64.26158029431414,2.08
-64.22912716171878,1.49
-64.22684731775203,1.82
-64.22459015851972,1.82
-64.26215595942527,2.37
-64.2893978506105,2.22
-64.3064185562821,2.08
-64.30336965326403,1.82
-64.3003510872145,1.82
-64.27746230577047,1.59
-64.2647513958283,1.7
-64.29196746201109,2.22
-64.29901247443692,1.94
-64.29603726286986,1.82
-64.2532911541159,1.39
-64.27067112586309,2.08
-64.29782828992727,2.22
-64.30481498636534,1.94
-64.31173216429605,1.94
-64.27878001460884,1.49
-64.2859562437624,1.94
-64.29306106853451,1.94
-64.26029469862776,1.49
-64.28755510936324,2.22
-64.29464402521415,1.94
-64.26186190472782,1.49
-64.23935609563598,1.59
-64.20712409699352,1.49
-64.22496343664787,2.08
-64.25257539780299,2.22
-64.23016199064884,1.59
-64.2179217248714,1.7
-64.24560375191253,2.22
-64.27301033931118,2.22
-64.25039360196043,1.59
-64.26780240458449,2.08
-64.27508786229134,1.94
-64.30220107906868,2.22
-64.29919414051408,1.82
-64.2564166208209,1.39
-64.28371561876429,2.22
-64.31074298825472,2.22
-64.33750143202957,2.22
-64.30429287516644,1.49
-64.2614646224825,1.39
-64.27876326701926,2.08
-64.27598953763345,1.82
-64.25334315696679,1.59
-64.27072261108904,2.08
-64.28792913746435,2.08
-64.30496445674558,2.08
-64.32183027246491,2.08
-64.33852827120411,2.08
-64.3749603729724,2.37
-64.32147884484054,1.3
-64.35808059051891,2.37
-64.38436801914318,2.22
-64.40044375946253,2.08
-64.35665879358446,1.39
-64.37301024415818,2.08
-64.39914912084103,2.22
-64.37527728698156,1.59
-64.34169285577211,1.49
-64.35819321928729,2.08
-64.36457927703498,1.94
-64.37090179270822,1.94
-64.33736089823692,1.49
-64.38375474049688,2.54
-64.39983658298445,2.08
-64.35605765867109,1.39
-64.36246496550788,1.94
-64.36880851883932,1.94
-64.38503907809202,2.08
-64.39115801617805,1.94
-64.39721607006399,1.94
-64.43306422075644,2.37
-64.42875517759842,1.82
-64.4543393851525,2.22
-64.41996827625982,1.49
-64.41578953938904,1.82
-64.38180200629144,1.49
-64.40785340375906,2.22
-64.42369546150263,2.08
-64.38962926350351,1.49
-64.3957025286621,1.94
-64.40171536407219,1.94
-64.37781799585638,1.59
-64.38400878460307,1.94
-64.41003822432995,2.22
-64.40595829272239,1.82
-64.36211845674704,1.39
-64.30876470757765,1.3
-64.325592710222,2.08
-64.32235302204104,1.82
-64.3191455691629,1.82
-64.27616953066351,1.39
-64.22367098408117,1.3
-64.26124592999273,2.37
-64.2884968754487,2.22
-64.30552654554639,2.08
-64.2626860180536,1.39
-64.24017200924872,1.59
-64.26763264284214,2.22
-64.28486991465756,2.08
-64.25218504827578,1.49
-64.23972565047666,1.7
-64.25724060035157,2.08
-64.23478077414401,1.59
-64.26229505118847,2.22
-64.26963530766704,1.94
-64.26695240264247,1.82
-64.25434606782629,1.7
-64.21201479252379,1.39
-64.20990521882976,1.82
-64.20781663565789,1.82
-64.16594833403104,1.39
-64.18419737741726,2.08
-64.19231471551055,1.94
-64.2302016601582,2.37
-64.22791112485812,1.82
-64.2355935056976,1.94
-64.25314957091304,2.08
-64.22078032595509,1.49
-64.23848378415911,2.08
-64.24606096571505,1.94
-64.24361262834262,1.82
-64.26108890228062,2.08
-64.25849103506076,1.82
-64.25591901694465,1.82
-64.20362196561919,1.3
-64.1617954015169,1.39
-64.19998601712933,2.37
-64.22784650631921,2.22
-64.23552953011634,1.94
-64.20333560678557,1.49
-64.22121264211641,2.08
-64.22896167369076,1.94
-64.22668347641302,1.82
-64.2244279474831,1.82
-64.18239436127577,1.39
-64.19052963959625,1.94
-64.16873359582807,1.59
-64.18695492548898,2.08
-64.14529420054137,1.39
-64.16374875511441,2.08
-64.19196980957766,2.22
-64.21991006101999,2.22
-64.2475723034666,2.22
-64.2650091781268,2.08
-64.26237230367441,1.82
-64.21001104138077,1.3
-64.2278216552928,2.08
-64.2255548013418,1.82
-64.19346012783063,1.49
-64.17163492534726,1.59
-64.16992713638348,1.82
-64.1383859650955,1.49
-64.15690925746759,2.08
-64.15534799074022,1.82
-64.15380225881202,1.82
-64.11247140706332,1.39
-64.14120267753694,2.22
-64.10994731821016,1.49
-64.0591027035949,1.3
-64.06846474931632,1.94
-64.07773364151225,1.94
-64.02720955701066,1.3
-64.04683906853693,2.08
-64.05632313895943,1.94
-64.02591234165715,1.49
-63.99580413559028,1.49
-63.96599550993818,1.49
-64.00613435890104,2.37
-64.00607332126312,1.82
-63.956262265914404,1.3
