beaconcount,second
5.757142857,44.900000000000006
6.114285714,45.0
6.214285714,45.1
6.171428571,45.2
6.057142857,45.300000000000004
5.985714286,45.400000000000006
5.514285714,45.5
5.485714286,45.6
5.871428571,45.7
5.514285714,45.800000000000004
5.728571429,45.900000000000006
6.214285714,46.0
5.985714286,46.1
5.9,46.2
6.028571429,46.300000000000004
5.928571429,46.400000000000006
6.214285714,46.5
6.071428571,46.6
5.742857143,46.7
6.257142857,46.800000000000004
6.442857143,46.900000000000006
6.357142857,47.0
6.142857143,47.1
5.885714286,47.2
6.085714286,47.300000000000004
5.857142857,47.400000000000006
5.557142857,47.5
5.771428571,47.6
5.571428571,47.7
5.742857143,47.800000000000004
5.685714286,47.900000000000006
5.857142857,48.0
6.171428571,48.1
5.6,48.2
5.885714286,48.300000000000004
5.957142857,48.400000000000006
5.985714286,48.5
5.957142857,48.6
6.085714286,48.7
5.914285714,48.800000000000004
6.128571429,48.900000000000006
6.157142857,49.0
6.314285714,49.1
5.928571429,49.2
5.857142857,49.300000000000004
6.471428571,49.400000000000006
6.214285714,49.5
6.385714286,49.6
5.785714286,49.7
5.8,49.800000000000004
5.728571429,49.900000000000006
6.314285714,50.0
6.157142857,50.1
6.157142857,50.2
6.157142857,50.300000000000004
6.257142857,50.400000000000006
6.128571429,50.5
6.214285714,50.6
5.928571429,50.7
6.428571429,50.800000000000004
6.214285714,50.900000000000006
6.257142857,51.0
6.085714286,51.1
6.014285714,51.2
6.171428571,51.300000000000004
6.371428571,51.400000000000006
5.942857143,51.5
6.3,51.6
6.128571429,51.7
5.942857143,51.800000000000004
6.228571429,51.900000000000006
6.028571429,52.0
6.185714286,52.1
6.414285714,52.2
6.485714286,52.300000000000004
6.114285714,52.400000000000006
6.5,52.5
6.271428571,52.6
6.714285714,52.7
6.557142857,52.800000000000004
7.085714286,52.900000000000006
6.557142857,53.0
6.5,53.1
6.571428571,53.2
6.4,53.300000000000004
6.285714286,53.400000000000006
6.614285714,53.5
6.428571429,53.6
6.914285714,53.7
6.6,53.800000000000004
6.728571429,53.900000000000006
6.942857143,54.0
6.571428571,54.1
6.185714286,54.2
6.471428571,54.300000000000004
5.957142857,54.400000000000006
5.971428571,54.5
6.128571429,54.6
6.271428571,54.7
6.114285714,54.800000000000004
5.985714286,54.900000000000006
6.557142857,55.0
6.428571429,55.1
6.928571429,55.2
7.114285714,55.300000000000004
7.271428571,55.400000000000006
6.514285714,55.5
6.428571429,55.6
6.514285714,55.7
6.728571429,55.800000000000004
6.614285714,55.900000000000006
6.7,56.0
6.285714286,56.1
6.542857143,56.2
6.942857143,56.300000000000004
6.857142857,56.400000000000006
6.914285714,56.5
7.0,56.6
6.614285714,56.7
6.614285714,56.800000000000004
6.814285714,56.900000000000006
6.671428571,57.0
6.8,57.1
6.557142857,57.2
6.514285714,57.300000000000004
7.1,57.400000000000006
6.542857143,57.5
6.857142857,57.6
6.314285714,57.7
6.171428571,57.800000000000004
6.042857143,57.900000000000006
6.385714286,58.0
6.242857143,58.1
6.685714286,58.2
6.885714286,58.300000000000004
6.871428571,58.400000000000006
7.428571429,58.5
7.057142857,58.6
6.685714286,58.7
7.085714286,58.800000000000004
6.957142857,58.900000000000006
6.928571429,59.0
6.728571429,59.1
6.857142857,59.2
6.928571429,59.300000000000004
6.685714286,59.400000000000006
6.571428571,59.5
6.485714286,59.6
6.771428571,59.7
7.057142857,59.800000000000004
6.328571429,59.900000000000006
6.557142857,60.0
6.714285714,60.1
6.342857143,60.2
6.414285714,60.300000000000004
6.5,60.400000000000006
6.9,60.5
6.714285714,60.6
6.842857143,60.7
7.085714286,60.800000000000004
6.457142857,60.900000000000006
6.9,61.0
6.971428571,61.1
7.014285714,61.2
6.7,61.300000000000004
6.814285714,61.400000000000006
6.9,61.5
7.028571429,61.6
6.985714286,61.7
7.214285714,61.800000000000004
6.542857143,61.900000000000006
6.685714286,62.0
6.8,62.1
6.785714286,62.2
6.685714286,62.300000000000004
6.4,62.400000000000006
6.828571429,62.5
6.742857143,62.6
6.628571429,62.7
6.7,62.800000000000004
6.328571429,62.900000000000006
6.714285714,63.0
6.414285714,63.1
7.057142857,63.2
6.585714286,63.300000000000004
6.985714286,63.400000000000006
6.642857143,63.5
6.814285714,63.6
6.385714286,63.7
6.871428571,63.800000000000004
6.871428571,63.900000000000006
6.642857143,64.0
6.514285714,64.10000000000001
7.028571429,64.2
7.042857143,64.3
6.628571429,64.4
6.842857143,64.5
6.9,64.60000000000001
6.728571429,64.7
6.814285714,64.8
6.714285714,64.9
6.614285714,65.0
6.442857143,65.10000000000001
7.085714286,65.2
6.971428571,65.3
6.714285714,65.4
6.7,65.5
6.757142857,65.60000000000001
6.942857143,65.7
7.042857143,65.8
6.671428571,65.9
6.485714286,66.0
6.6,66.10000000000001
7.057142857,66.2
6.857142857,66.3
6.942857143,66.4
7.114285714,66.5
6.728571429,66.60000000000001
7.042857143,66.7
7.185714286,66.8
7.071428571,66.9
6.871428571,67.0
7.342857143,67.10000000000001
7.028571429,67.2
6.585714286,67.3
6.628571429,67.4
7.128571429,67.5
7.485714286,67.60000000000001
7.0,67.7
7.057142857,67.8
7.457142857,67.9
6.5,68.0
6.828571429,68.10000000000001
6.771428571,68.2
