filtered_rssi,est_dist
-70.14071731160946,2.54
-70.12933840222466,2.54
-70.13802301246014,2.9
-70.1665690508268,3.31
-70.18485525024269,3.09
-70.17303834403644,2.54
-70.17131266174233,2.71
-70.1895490297855,3.09
-70.19763079860073,2.9
-70.19566012150783,2.71
-70.20368026213283,2.9
-70.21162010243452,2.9
-70.21948045618993,2.9
-70.21729226624271,2.71
-70.19518703486422,2.37
-70.19324119818546,2.71
-70.19131483235013,2.71
-70.1894077403773,2.71
-70.16758376240942,2.37
-70.16591334971356,2.71
-70.15429236295729,2.54
-70.12285371500256,2.22
-70.13159588852855,2.9
-70.13028436682795,2.71
-70.13895191939697,2.9
-70.14753282125012,2.9
-70.15602794663644,2.9
-70.15447312212127,2.71
-70.1728633233491,3.09
-70.1811052882513,2.9
-70.16933655493956,2.54
-70.16764930392515,2.71
-70.16597891022641,2.71
-70.13443515079355,2.22
-70.15302193947606,3.09
-70.14153457541369,2.54
-70.12019936505268,2.37
-70.09907723166863,2.37
-70.08812812348499,2.54
-70.05736464007072,2.22
-70.10660130632446,3.78
-70.10553940866458,2.71
-70.12441045488139,3.09
-70.09328835131421,2.22
-70.05251617926125,2.08
-70.03207203530067,2.37
-70.02179226605259,2.54
-70.03153533194211,2.9
-70.05114108543869,3.09
-70.0506317341694,2.71
-70.04016792837254,2.54
-70.01984918048592,2.37
-70.00969233122649,2.54
-70.03947277179867,3.31
-70.02912085663131,2.54
-70.01887221137599,2.54
-70.04855969016803,3.31
-70.02815950378448,2.37
-70.01792094240379,2.54
-69.98786852763143,2.22
-69.99794716114843,2.9
-70.02784063587426,3.31
-70.01760588382902,2.54
-70.00747319384139,2.54
-69.9974415437262,2.54
-69.9875099216661,2.54
-69.97767732610258,2.54
-70.00777005921266,3.31
-70.00769269513623,2.71
-69.99765954168565,2.54
-69.9777699779217,2.37
-69.96803499863199,2.54
-69.97830943389245,2.9
-69.98848145231648,2.9
-70.00850802648756,3.09
-70.00842332199909,2.71
-70.01829518143276,2.9
-69.9982018240537,2.37
-70.01813072627088,3.09
-70.02790562152505,2.9
-70.03758310240474,2.9
-70.00734339419569,2.22
-70.02718046380693,3.09
-70.02690988259975,2.71
-70.02664199761759,2.71
-69.996512388379,2.22
-70.01645651711819,3.09
-70.02624731341363,2.9
-70.03594055952054,2.9
-70.03558279143098,2.71
-70.04518294083536,2.9
-70.02482463900266,2.37
-70.00466915538657,2.37
-70.0245308917186,3.09
-70.05414879436204,3.31
-70.07351770122308,3.09
-70.05287816546976,2.37
-70.07225942797629,3.09
-70.05163272166536,2.37
-70.06107244375511,2.9
-70.06046455390197,2.71
-70.06981623684803,2.9
-70.07907477514502,2.9
-70.06833432856301,2.54
-70.07760749544794,2.9
-70.0668817910294,2.54
-70.06621610351881,2.71
-70.06555704575177,2.71
-70.06490455158206,2.71
-70.07421157175442,2.9
-70.04361407011731,2.22
-70.07303869205131,3.31
-70.08226459689661,2.9
-70.11130421604913,3.31
-70.11019643400837,2.71
-70.0891943046484,2.37
-70.06840130904833,2.37
-70.07767312764389,2.9
-70.06694754284146,2.54
-70.04637626379845,2.37
-70.08572448737499,3.53
-70.08487132305096,2.71
-70.07407429936735,2.54
-70.05343246883609,2.37
-70.05290069465066,2.71
-70.05237421506756,2.71
-70.05185297730485,2.71
-70.02148050294187,2.22
-70.04117093100605,3.09
-70.06066532122533,3.09
-70.07996562761872,3.09
-70.0592658368089,2.37
-70.06862797624947,2.9
-70.05799308258715,2.54
-70.02756030690897,2.22
-70.02728603103962,2.71
-70.02701448564962,2.71
-70.02674564352897,2.71
-70.02647947773963,2.71
-70.05607109653106,3.31
-70.07541645534786,3.09
-70.06471428780172,2.54
-70.06407027585051,2.71
-70.0435294954683,2.37
-70.0331447484141,2.54
-70.03281490738263,2.71
-70.01258534100035,2.37
-70.03236305232817,3.09
-70.03204099302279,2.71
-70.01181929148994,2.37
-70.01170167301284,2.71
-69.99168247914963,2.37
-70.00171659805687,2.9
-70.0216021639017,3.09
-70.03133849466816,2.9
-70.00117280528448,2.22
-70.01111238869926,2.9
-70.03090427061322,3.09
-70.05049915575742,3.09
-70.04999662913788,2.71
-70.05945027177799,2.9
-70.03895637974205,2.37
-70.07837322624307,3.53
-70.06764221914365,2.54
-70.06696910551463,2.71
-70.09615589615763,3.31
-70.09519904406731,2.71
-70.0843006841288,2.54
-70.07351079356991,2.54
-70.07277928797649,2.71
-70.05215310585818,2.37
-70.04168317071138,2.54
-70.07112121885251,3.31
-70.05051163909049,2.37
-70.07986174078763,3.31
-70.0790670448092,2.71
-70.09818202193446,3.09
-70.09720502569353,2.71
-70.09623775284045,2.71
-70.12513262024422,3.31
-70.12388744759139,2.71
-70.12265466714645,2.71
-70.10153256277526,2.37
-70.08062066810265,2.37
-70.05991689027093,2.37
-70.0493699145612,2.54
-70.03892790238518,2.54
-70.02858980875719,2.54
-70.05815748092981,3.31
-70.06752948144509,2.9
-70.04695612181531,2.37
-70.06639024775835,3.09
-70.08563096934911,3.09
-70.07482822057383,2.54
-70.08403428402762,2.9
-70.08319808889586,2.71
-70.08237021529588,2.71
-70.11140244748233,3.31
-70.11029392489415,2.71
-70.1191470367114,2.9
-70.11796145299434,2.71
-70.11678766763289,2.71
-70.09572441311742,2.37
-70.10472246713672,2.9
-70.0738287480583,2.22
-70.05319301384706,2.37
-70.03276263374792,2.37
-70.02248609589985,2.54
-70.02226234745973,2.71
-70.04194185808737,3.09
-70.06142553225551,3.09
-70.06081431744165,2.71
-70.06020918497401,2.71
-70.06956056047075,2.9
-70.08876935758786,3.09
-70.07793558858401,2.54
-70.08711055835361,2.9
-70.09619422675814,2.9
-70.10518750253155,2.9
-70.12404173067586,3.09
-70.14270833895515,3.09
-70.14128832922434,2.71
-70.1398824500659,2.71
-70.14844098153115,2.9
-70.15691434702183,2.9
-70.14540257597957,2.54
-70.15390616515364,2.9
-70.1424243396058,2.54
-70.16090794662105,3.09
-70.17920762474733,3.09
-70.19732520453421,3.09
-70.18541136739287,2.54
-70.20346719927988,3.09
-70.22134336013706,3.09
-70.20919055121506,2.54
-70.19715867282655,2.54
-70.21509758042056,3.09
-70.20300693606127,2.54
-70.19103660315022,2.54
-70.16923504462157,2.37
-70.1874517700815,3.09
-70.18558656286726,2.71
-70.1737895886303,2.54
-70.16211000284703,2.54
-70.190347914405,3.31
-70.18845389261435,2.71
-70.17662840598487,2.54
-70.21467213081951,3.53
-70.19263546909465,2.37
-70.19071868823373,2.71
-70.20872157520722,3.09
-70.18674414639027,2.37
-70.20478656898548,3.09
-70.19279859651608,2.54
-70.17097962758538,2.37
-70.15932805134588,2.54
-70.12789185948817,2.22
-70.12661930034147,2.71
-70.14525994755272,3.09
-70.17366537879133,3.31
-70.17193736206399,2.71
-70.16027627675966,2.54
-70.16863174659197,2.9
-70.15700355936848,2.54
-70.16539158911112,2.9
-70.15379564836131,2.54
-70.19206634368813,3.53
-70.17025474071119,2.37
-70.14866017385607,2.37
-70.14718096902597,2.71
-70.11586576147477,2.22
-70.14456358419727,3.31
-70.15307537839605,2.9
-70.17145271015035,3.09
-70.15979648434838,2.54
-70.15820647265387,2.71
-70.14668205482536,2.54
-70.15517276072981,2.9
-70.15362875709094,2.71
-70.13219967397899,2.37
-70.11098381906336,2.37
-70.12977994129099,3.09
-70.13843881871948,2.9
-70.11716089472053,2.37
-70.08614448205795,2.22
-70.10518774745665,3.09
-70.09419089852577,2.54
-70.09325367956795,2.71
-70.09232578628477,2.71
-70.07150671790102,2.37
-70.08074541400752,2.9
-70.09984238269952,3.09
-70.10879913047269,2.9
-70.12761695342233,3.09
-70.13629733613428,2.9
-70.15484154116679,3.09
-70.12345025683676,2.22
-70.13217209534997,2.9
-70.14080714873602,2.9
-70.10955552188885,2.22
-70.12836580058602,3.09
-70.15693909825154,3.31
-70.16532771095231,2.9
-70.16368266969265,2.71
-70.1421536300591,2.37
-70.17058972258877,3.31
-70.17884250515591,2.9
-70.19696335023488,3.09
-70.20495370865717,2.9
-70.20291438278508,2.71
-70.22079570257873,3.09
-70.27829980173344,4.04
-70.25563032031397,2.37
-70.23318640642586,2.37
-70.26071668008782,3.31
-70.24817233232818,2.54
-70.23575280414653,2.54
-70.25330736387652,3.09
-70.27068725119031,3.09
-70.25804369912147,2.54
-70.27537645607731,3.09
-70.29253674774726,3.09
-70.2896259585973,2.71
-70.29669429753271,2.9
-70.29374214054789,2.71
-70.3107196851329,3.09
-70.29767781102994,2.54
-70.2947158686043,2.71
-70.3017335594094,2.9
-70.28878110157625,2.54
-70.33565848241466,3.78
-70.312418308912,2.37
-70.30930969724362,2.71
-70.266431385908,2.08
-70.26378035175816,2.71
-70.24125538302643,2.37
-70.2289046985099,2.54
-70.21667690598005,2.54
-70.18467047332322,2.22
-70.22263358989481,3.53
-70.2303685049874,2.9
-70.24797660897194,3.09
-70.21565874683297,2.22
-70.1737123022653,2.08
-70.13218323340644,2.08
-70.16071844262008,3.31
-70.17901957048925,3.09
