x,,,,,rssi,realdist,time
c2:02:0b:00:05:44,,,,,-96,3,
c2:02:0b:00:05:44,,,,,-72,4,
c2:02:0b:00:05:44,,,,,-89,5,
c2:02:0b:00:05:44,,,,,-80,4,
c2:02:0b:00:05:44,,,,,-82,5,
c2:02:0b:00:05:44,,,,,-87,5,
c2:02:0b:00:05:44,,,,,-92,4,
c2:02:0b:00:05:44,,,,,-90,3,
c2:02:0b:00:05:44,,,,,-88,3,
c2:02:0b:00:05:44,,,,,-78,2,
c2:02:0b:00:05:44,,,,,-88,2,
c2:02:0b:00:05:44,,,,,-73,1,
c2:02:0b:00:05:44,,,,,-81,2,
c2:02:0b:00:05:44,,,,,-72,3,
c2:02:0b:00:05:44,,,,,-86,4,
c2:02:0b:00:05:44,,,,,-97,4,
c2:02:0b:00:05:44,,,,,-87,4,
c2:02:0b:00:05:44,,,,,-76,4,
c2:02:0b:00:05:44,,,,,-72,3,
c2:02:0b:00:05:44,,,,,-95,2,
c2:02:0b:00:05:44,,,,,-84,2,
c2:02:0b:00:05:44,,,,,-94,3,
c2:02:0b:00:05:44,,,,,-83,3,
c2:02:0b:00:05:44,,,,,-86,2,
c2:02:0b:00:05:44,,,,,-72,3,
c2:02:0b:00:05:44,,,,,-75,3,
c2:02:0b:00:05:44,,,,,-85,3,
c2:02:0b:00:05:44,,,,,-92,2,
c2:02:0b:00:05:44,,,,,-79,3,
c2:02:0b:00:05:44,,,,,-82,3,
c2:02:0b:00:05:44,,,,,-85,3,
c2:02:0b:00:05:44,,,,,-96,4,
c2:02:0b:00:05:44,,,,,-95,4,
c2:02:0b:00:05:44,,,,,-76,5,
c2:02:0b:00:05:44,,,,,-77,5,
c2:02:0b:00:05:44,,,,,-88,5,
c2:02:0b:00:05:44,,,,,-77,4,
c2:02:0b:00:05:44,,,,,-75,3,
c2:02:0b:00:05:44,,,,,-79,3,
c2:02:0b:00:05:44,,,,,-95,2,
c2:02:0b:00:05:44,,,,,-77,3,
c2:02:0b:00:05:44,,,,,-75,3,
c2:02:0b:00:05:44,,,,,-72,2,
c2:02:0b:00:05:44,,,,,-86,3,
c2:02:0b:00:05:44,,,,,-97,4,
c2:02:0b:00:05:44,,,,,-83,4,
c2:02:0b:00:05:44,,,,,-83,3,
c2:02:0b:00:05:44,,,,,-74,2,
c2:02:0b:00:05:44,,,,,-78,2,
c2:02:0b:00:05:44,,,,,-95,2,
c2:02:0b:00:05:44,,,,,-90,1,
c2:02:0b:00:05:44,,,,,-75,2,
c2:02:0b:00:05:44,,,,,-74,2,
c2:02:0b:00:05:44,,,,,-83,1,
c2:02:0b:00:05:44,,,,,-74,1,
c2:02:0b:00:05:44,,,,,-96,1,
c2:02:0b:00:05:44,,,,,-83,1,
c2:02:0b:00:05:44,,,,,-97,2,
c2:02:0b:00:05:44,,,,,-85,2,
c2:02:0b:00:05:44,,,,,-90,2,
c2:02:0b:00:05:44,,,,,-81,1,
c2:02:0b:00:05:44,,,,,-97,1,
c2:02:0b:00:05:44,,,,,-93,2,
c2:02:0b:00:05:44,,,,,-85,1,
c2:02:0b:00:05:44,,,,,-97,1,
c2:02:0b:00:05:44,,,,,-94,2,
c2:02:0b:00:05:44,,,,,-86,1,
c2:02:0b:00:05:44,,,,,-76,2,
c2:02:0b:00:05:44,,,,,-93,1,
c2:02:0b:00:05:44,,,,,-95,2,
c2:02:0b:00:05:44,,,,,-87,1,
c2:02:0b:00:05:44,,,,,-95,2,
c2:02:0b:00:05:44,,,,,-73,3,
c2:02:0b:00:05:44,,,,,-97,3,
c2:02:0b:00:05:44,,,,,-80,2,
c2:02:0b:00:05:44,,,,,-91,2,
c2:02:0b:00:05:44,,,,,-78,1,
c2:02:0b:00:05:44,,,,,-75,2,
c2:02:0b:00:05:44,,,,,-73,3,
c2:02:0b:00:05:44,,,,,-95,3,
c2:02:0b:00:05:44,,,,,-81,2,
c2:02:0b:00:05:44,,,,,-78,3,
c2:02:0b:00:05:44,,,,,-76,3,
c2:02:0b:00:05:44,,,,,-90,4,
c2:02:0b:00:05:44,,,,,-80,3,
c2:02:0b:00:05:44,,,,,-73,3,
c2:02:0b:00:05:44,,,,,-88,2,
c2:02:0b:00:05:44,,,,,-77,1,
c2:02:0b:00:05:44,,,,,-73,2,
c2:02:0b:00:05:44,,,,,-74,1,
c2:02:0b:00:05:44,,,,,-90,2,
c2:02:0b:00:05:44,,,,,-92,3,
c2:02:0b:00:05:44,,,,,-81,3,
c2:02:0b:00:05:44,,,,,-78,4,
c2:02:0b:00:05:44,,,,,-78,4,
c2:02:0b:00:05:44,,,,,-72,5,
c2:02:0b:00:05:44,,,,,-81,5,
c2:02:0b:00:05:44,,,,,-75,6,
c2:02:0b:00:05:44,,,,,-90,5,
c2:02:0b:00:05:44,,,,,-80,4,
c2:02:0b:00:05:44,,,,,-73,4,
c2:02:0b:00:05:44,,,,,-89,5,
c2:02:0b:00:05:44,,,,,-94,6,
c2:02:0b:00:05:44,,,,,-87,6,
c2:02:0b:00:05:44,,,,,-78,5,
c2:02:0b:00:05:44,,,,,-80,6,
c2:02:0b:00:05:44,,,,,-88,6,
c2:02:0b:00:05:44,,,,,-75,6,
c2:02:0b:00:05:44,,,,,-80,5,
c2:02:0b:00:05:44,,,,,-88,6,
c2:02:0b:00:05:44,,,,,-80,6,
c2:02:0b:00:05:44,,,,,-87,6,
c2:02:0b:00:05:44,,,,,-78,7,
c2:02:0b:00:05:44,,,,,-83,7,
c2:02:0b:00:05:44,,,,,-78,6,
c2:02:0b:00:05:44,,,,,-86,6,
c2:02:0b:00:05:44,,,,,-97,6,
c2:02:0b:00:05:44,,,,,-94,7,
c2:02:0b:00:05:44,,,,,-91,6,
c2:02:0b:00:05:44,,,,,-87,7,
c2:02:0b:00:05:44,,,,,-95,7,
c2:02:0b:00:05:44,,,,,-77,7,
c2:02:0b:00:05:44,,,,,-79,7,
c2:02:0b:00:05:44,,,,,-81,7,
c2:02:0b:00:05:44,,,,,-95,7,
